Symptoms,Outcome,Weight
 VOMITING, VISITED AN ER,879
 NAUSEA, VISITED AN ER,874
 PAIN,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),858
 HYPERSENSITIVITY,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),854
 NAUSEA,HOSPITALIZATION,835
 DIZZINESS,NON-SERIOUS INJURIES/ ILLNESS,820
 DIZZINESS,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),811
 NAUSEA, HOSPITALIZATION,792
ALOPECIA,NON-SERIOUS INJURIES/ ILLNESS,774
 MALAISE,VISITED A HEALTH CARE PROVIDER,756
 PAIN,VISITED A HEALTH CARE PROVIDER,751
 PRURITUS,VISITED A HEALTH CARE PROVIDER,739
 PAIN, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),732
DYSPHAGIA,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),723
 HEADACHE,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),714
 DIZZINESS, VISITED AN ER,710
 DIARRHOEA, HOSPITALIZATION,705
 HEADACHE,VISITED A HEALTH CARE PROVIDER,701
 DYSPNOEA, VISITED AN ER,701
 ABDOMINAL PAIN,VISITED AN ER,701
BURNING SENSATION,NON-SERIOUS INJURIES/ ILLNESS,685
DIARRHOEA,VISITED A HEALTH CARE PROVIDER,675
 BODY TEMPERATURE INCREASED,NON-SERIOUS INJURIES/ ILLNESS,674
 DYSPNOEA,VISITED AN ER,672
 HYPERSENSITIVITY,VISITED A HEALTH CARE PROVIDER,654
 ALOPECIA,VISITED A HEALTH CARE PROVIDER,654
 FATIGUE,VISITED A HEALTH CARE PROVIDER,649
 PRURITUS,NON-SERIOUS INJURIES/ ILLNESS,648
 ABDOMINAL PAIN UPPER,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),645
 DYSPNOEA, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),640
 BURNING SENSATION,NON-SERIOUS INJURIES/ ILLNESS,640
VOMITING,VISITED A HEALTH CARE PROVIDER,628
 DYSPNOEA, HOSPITALIZATION,626
 DIZZINESS,HOSPITALIZATION,626
 MALAISE,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),624
 DIARRHOEA, VISITED A HEALTH CARE PROVIDER,620
 NAUSEA, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),619
DYSPNOEA,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),595
 ALOPECIA,NON-SERIOUS INJURIES/ ILLNESS,595
 FATIGUE,NON-SERIOUS INJURIES/ ILLNESS,592
 ABDOMINAL PAIN, VISITED AN ER,587
 VOMITING, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),584
 ABDOMINAL PAIN, HOSPITALIZATION,580
 NAUSEA, VISITED A HEALTH CARE PROVIDER,579
 RASH,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),576
 DIZZINESS, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),575
 FATIGUE,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),573
 VOMITING, VISITED A HEALTH CARE PROVIDER,571
 PAIN,NON-SERIOUS INJURIES/ ILLNESS,570
 BLOOD PRESSURE INCREASED, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),568
 DIZZINESS, HOSPITALIZATION,566
 DIZZINESS,VISITED AN ER,560
ALOPECIA,VISITED A HEALTH CARE PROVIDER,553
 BLOOD PRESSURE INCREASED,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),552
 RASH,VISITED A HEALTH CARE PROVIDER,543
 DYSPNOEA,HOSPITALIZATION,540
 DYSPNOEA,VISITED A HEALTH CARE PROVIDER,534
 ABDOMINAL PAIN UPPER,VISITED A HEALTH CARE PROVIDER,532
 FEELING OF BODY TEMPERATURE CHANGE,NON-SERIOUS INJURIES/ ILLNESS,530
 HYPERSENSITIVITY, VISITED AN ER,527
 DIARRHOEA, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),524
 HYPERSENSITIVITY,VISITED AN ER,519
 ASTHENIA,NON-SERIOUS INJURIES/ ILLNESS,517
 THROAT IRRITATION,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),512
 CHILLS,NON-SERIOUS INJURIES/ ILLNESS,503
 HYPERSENSITIVITY, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),501
 DIARRHOEA, NON-SERIOUS INJURIES/ ILLNESS,500
ABDOMINAL PAIN UPPER,NON-SERIOUS INJURIES/ ILLNESS,498
VOMITING, VISITED AN ER,497
 ERYTHEMA,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),496
 ASTHENIA,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),496
 FATIGUE, HOSPITALIZATION,494
 ABDOMINAL PAIN,HOSPITALIZATION,492
 DIZZINESS,VISITED A HEALTH CARE PROVIDER,491
OVARIAN CANCER,DEATH,486
 DYSGEUSIA,NON-SERIOUS INJURIES/ ILLNESS,485
VOMITING,VISITED AN ER,484
NAUSEA,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),480
 PRURITUS, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),480
 HEADACHE, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),479
 FATIGUE, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),475
 SWELLING,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),474
 DYSPNOEA, LIFE THREATENING,467
VOMITING,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),466
DIARRHOEA,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),465
 ASTHENIA, HOSPITALIZATION,461
 COUGH,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),453
 DEHYDRATION, VISITED AN ER,452
 ABDOMINAL PAIN UPPER, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),450
 RASH,NON-SERIOUS INJURIES/ ILLNESS,446
 ABDOMINAL PAIN,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),446
HYPERSENSITIVITY,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),445
 URTICARIA,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),445
 ASTHENIA,HOSPITALIZATION,445
NAUSEA,VISITED A HEALTH CARE PROVIDER,441
 MALAISE,VISITED AN ER,439
 HEART RATE INCREASED,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),438
 SWELLING,VISITED A HEALTH CARE PROVIDER,437
 ANXIETY,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),436
 DYSPEPSIA,NON-SERIOUS INJURIES/ ILLNESS,429
HYPERSENSITIVITY,NON-SERIOUS INJURIES/ ILLNESS,425
 PAIN,HOSPITALIZATION,425
 FOREIGN BODY,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),424
 ABDOMINAL PAIN UPPER,HOSPITALIZATION,424
FEELING OF BODY TEMPERATURE CHANGE,NON-SERIOUS INJURIES/ ILLNESS,423
 ERYTHEMA,NON-SERIOUS INJURIES/ ILLNESS,421
 DYSPNOEA,LIFE THREATENING,419
 BURNING SENSATION,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),415
 PAIN, HOSPITALIZATION,414
 MALAISE, HOSPITALIZATION,413
 DIZZINESS, VISITED A HEALTH CARE PROVIDER,413
 BLOOD PRESSURE INCREASED, VISITED AN ER,412
RASH,NON-SERIOUS INJURIES/ ILLNESS,408
 FATIGUE,HOSPITALIZATION,408
 PRURITUS, VISITED AN ER,405
 ASTHENIA,VISITED A HEALTH CARE PROVIDER,405
 ABDOMINAL PAIN UPPER,VISITED AN ER,404
 PAIN,VISITED AN ER,402
ABDOMINAL PAIN,VISITED A HEALTH CARE PROVIDER,399
 DEHYDRATION,HOSPITALIZATION,397
 PRURITUS,VISITED AN ER,393
 MALAISE, VISITED AN ER,393
 RETCHING,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),391
 MALAISE,HOSPITALIZATION,391
FOREIGN BODY TRAUMA,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),389
 HEADACHE, VISITED AN ER,389
 ALOPECIA, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),387
 DYSPNOEA, VISITED A HEALTH CARE PROVIDER,385
 ERYTHEMA,VISITED A HEALTH CARE PROVIDER,383
 VOMITING, NON-SERIOUS INJURIES/ ILLNESS,380
 URTICARIA, VISITED AN ER,379
 HEADACHE,VISITED AN ER,376
 BURNING SENSATION,VISITED A HEALTH CARE PROVIDER,372
 BLOOD PRESSURE INCREASED,VISITED A HEALTH CARE PROVIDER,372
 RASH, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),371
 FLATULENCE,NON-SERIOUS INJURIES/ ILLNESS,371
VOMITING,HOSPITALIZATION,368
COELIAC DISEASE,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),367
 PAIN, VISITED A HEALTH CARE PROVIDER,366
 ASTHENIA, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),366
PRURITUS,NON-SERIOUS INJURIES/ ILLNESS,365
 DEHYDRATION,VISITED AN ER,365
 NAUSEA, NON-SERIOUS INJURIES/ ILLNESS,362
 ABDOMINAL PAIN, VISITED A HEALTH CARE PROVIDER,362
OVARIAN CANCER, DEATH,361
 BLOOD PRESSURE INCREASED,VISITED AN ER,360
 ABDOMINAL DISCOMFORT,NON-SERIOUS INJURIES/ ILLNESS,357
PRURITUS,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),353
 CHEST PAIN,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),348
NAUSEA, VISITED AN ER,347
ABDOMINAL PAIN UPPER,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),346
 DEHYDRATION, HOSPITALIZATION,346
 SWELLING, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),345
 DEHYDRATION,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),345
 ASTHENIA,VISITED AN ER,345
 PAIN, VISITED AN ER,344
 LOSS OF CONSCIOUSNESS,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),344
 HEART RATE INCREASED, VISITED AN ER,344
ALOPECIA, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),343
 ABDOMINAL PAIN UPPER, VISITED AN ER,343
 ABDOMINAL PAIN, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),342
 MALAISE, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),340
DIZZINESS,NON-SERIOUS INJURIES/ ILLNESS,337
 PRURITUS, HOSPITALIZATION,336
 FATIGUE, VISITED AN ER,334
 BLOOD PRESSURE INCREASED, HOSPITALIZATION,334
 ABDOMINAL DISTENSION,NON-SERIOUS INJURIES/ ILLNESS,334
 FEELING ABNORMAL,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),333
 HYPERHIDROSIS,NON-SERIOUS INJURIES/ ILLNESS,332
 HEPATIC ENZYME INCREASED,VISITED A HEALTH CARE PROVIDER,332
 HEADACHE, VISITED A HEALTH CARE PROVIDER,330
 FATIGUE, VISITED A HEALTH CARE PROVIDER,329
 HYPERSENSITIVITY, VISITED A HEALTH CARE PROVIDER,327
 BLOOD BILIRUBIN INCREASED, HOSPITALIZATION,327
 OROPHARYNGEAL PAIN,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),325
 DYSPNOEA,NON-SERIOUS INJURIES/ ILLNESS,324
 ALANINE AMINOTRANSFERASE INCREASED,VISITED A HEALTH CARE PROVIDER,323
 HEADACHE,HOSPITALIZATION,321
 ABDOMINAL PAIN UPPER, HOSPITALIZATION,321
 BLOOD PRESSURE INCREASED,HOSPITALIZATION,318
DIZZINESS,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),317
 ABDOMINAL PAIN, NON-SERIOUS INJURIES/ ILLNESS,315
DIARRHOEA,HOSPITALIZATION,314
MALAISE,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),313
 ASTHENIA, VISITED AN ER,312
 ALANINE AMINOTRANSFERASE INCREASED,HOSPITALIZATION,312
 BODY TEMPERATURE INCREASED,VISITED A HEALTH CARE PROVIDER,310
 LOSS OF CONSCIOUSNESS,HOSPITALIZATION,309
 JAUNDICE, HOSPITALIZATION,308
 ASPARTATE AMINOTRANSFERASE INCREASED,HOSPITALIZATION,307
 JAUNDICE,HOSPITALIZATION,306
 HEADACHE, HOSPITALIZATION,306
DIARRHOEA,VISITED AN ER,303
 ASPARTATE AMINOTRANSFERASE INCREASED,VISITED A HEALTH CARE PROVIDER,303
 PARAESTHESIA,NON-SERIOUS INJURIES/ ILLNESS,302
NAUSEA,HOSPITALIZATION,301
 FATIGUE,VISITED AN ER,299
VOMITING, HOSPITALIZATION,298
 TREMOR,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),298
 CHEST PAIN, HOSPITALIZATION,297
 ABDOMINAL PAIN UPPER, VISITED A HEALTH CARE PROVIDER,297
 SWELLING, VISITED AN ER,295
 ERYTHEMA, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),293
 ASPARTATE AMINOTRANSFERASE INCREASED, HOSPITALIZATION,293
 MALAISE, VISITED A HEALTH CARE PROVIDER,292
 HEART RATE INCREASED,HOSPITALIZATION,292
 HEART RATE INCREASED, HOSPITALIZATION,291
HEADACHE,VISITED A HEALTH CARE PROVIDER,289
 BLOOD BILIRUBIN INCREASED,HOSPITALIZATION,288
 SWELLING,NON-SERIOUS INJURIES/ ILLNESS,287
 HYPERSENSITIVITY,HOSPITALIZATION,287
 FOOD POISONING,NON-SERIOUS INJURIES/ ILLNESS,285
 ALANINE AMINOTRANSFERASE INCREASED, HOSPITALIZATION,283
RASH,VISITED A HEALTH CARE PROVIDER,280
HEADACHE,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),280
 GASTROINTESTINAL DISORDER,NON-SERIOUS INJURIES/ ILLNESS,279
 PRURITUS, VISITED A HEALTH CARE PROVIDER,278
 ERYTHEMA, VISITED AN ER,278
 URTICARIA,VISITED AN ER,276
 PARAESTHESIA,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),276
 LOSS OF CONSCIOUSNESS, HOSPITALIZATION,276
 INSOMNIA,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),276
 HYPERSENSITIVITY, LIFE THREATENING,274
ABDOMINAL PAIN,VISITED AN ER,272
 HYPERHIDROSIS,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),272
 CONSTIPATION,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),272
 CHEST PAIN,HOSPITALIZATION,270
 THROAT TIGHTNESS,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),268
 ASTHENIA, VISITED A HEALTH CARE PROVIDER,267
ABDOMINAL PAIN UPPER,HOSPITALIZATION,266
 VOMITING, LIFE THREATENING,266
 URTICARIA,NON-SERIOUS INJURIES/ ILLNESS,266
 PYREXIA,NON-SERIOUS INJURIES/ ILLNESS,265
 RASH,VISITED AN ER,264
 DYSPEPSIA,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),264
 WEIGHT DECREASED, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),263
BLOOD PRESSURE INCREASED,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),262
 HEART RATE INCREASED,VISITED AN ER,261
VOMITING, NON-SERIOUS INJURIES/ ILLNESS,260
 DEHYDRATION, VISITED A HEALTH CARE PROVIDER,260
 CHEST PAIN, VISITED AN ER,260
NAUSEA,VISITED AN ER,259
 CHEST PAIN,VISITED AN ER,259
 HEART RATE INCREASED, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),257
 VOMITING,LIFE THREATENING,256
NAUSEA, HOSPITALIZATION,255
 VOMITING, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,255
 ABDOMINAL DISTENSION,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),255
 PRURITUS,HOSPITALIZATION,253
 PHARYNGEAL OEDEMA,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),253
PRURITUS,VISITED A HEALTH CARE PROVIDER,252
 WEIGHT DECREASED,VISITED A HEALTH CARE PROVIDER,252
 FLATULENCE,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),251
 DIARRHOEA, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,250
 BODY TEMPERATURE INCREASED,HOSPITALIZATION,249
 HEPATIC ENZYME INCREASED, HOSPITALIZATION,248
 DYSPNOEA, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,246
HYPERSENSITIVITY,VISITED A HEALTH CARE PROVIDER,245
DIARRHOEA, VISITED AN ER,245
 PALPITATIONS,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),245
 DYSPHAGIA,VISITED A HEALTH CARE PROVIDER,244
 WEIGHT DECREASED, HOSPITALIZATION,243
 URTICARIA,VISITED A HEALTH CARE PROVIDER,243
MALAISE,VISITED A HEALTH CARE PROVIDER,242
ABDOMINAL PAIN, VISITED AN ER,242
 LOSS OF CONSCIOUSNESS, VISITED AN ER,241
 ERYTHEMA,VISITED AN ER,241
CONVULSION,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),240
 DEHYDRATION, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),240
 CHEST PAIN, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),240
DEATH,DEATH,239
ABDOMINAL PAIN,HOSPITALIZATION,239
 RASH, VISITED AN ER,239
 EYE SWELLING,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),239
 HYPERSENSITIVITY, HOSPITALIZATION,237
 DYSPHAGIA, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),237
 ABDOMINAL DISCOMFORT,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),235
 WEIGHT DECREASED,HOSPITALIZATION,234
 PARAESTHESIA,VISITED A HEALTH CARE PROVIDER,233
 BODY TEMPERATURE INCREASED, HOSPITALIZATION,233
RASH,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),232
 TREMOR, VISITED AN ER,232
 BURNING SENSATION,VISITED AN ER,232
DYSPEPSIA,NON-SERIOUS INJURIES/ ILLNESS,231
 SWELLING,VISITED AN ER,231
DYSPNOEA, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),230
 LIVER FUNCTION TEST ABNORMAL,VISITED A HEALTH CARE PROVIDER,228
 HYPOAESTHESIA,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),228
 SWELLING FACE,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),227
 BLOOD BILIRUBIN INCREASED,VISITED A HEALTH CARE PROVIDER,227
 ANXIETY, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),227
LACERATION,NON-SERIOUS INJURIES/ ILLNESS,225
 URTICARIA, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),225
NAUSEA, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),224
 LOSS OF CONSCIOUSNESS,VISITED AN ER,224
DIARRHOEA, NON-SERIOUS INJURIES/ ILLNESS,223
 SWELLING,HOSPITALIZATION,222
URTICARIA,NON-SERIOUS INJURIES/ ILLNESS,221
HYPERSENSITIVITY, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),220
PAIN,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),219
 DEHYDRATION,VISITED A HEALTH CARE PROVIDER,219
 ASPARTATE AMINOTRANSFERASE INCREASED, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),218
 LETHARGY,NON-SERIOUS INJURIES/ ILLNESS,217
CHEST PAIN, HOSPITALIZATION,216
 PARAESTHESIA, VISITED AN ER,216
 HYPERSENSITIVITY, NON-SERIOUS INJURIES/ ILLNESS,216
 DECREASED APPETITE,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),216
 CHEST DISCOMFORT,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),216
 THROAT IRRITATION,NON-SERIOUS INJURIES/ ILLNESS,214
DIARRHOEA, HOSPITALIZATION,213
ABDOMINAL PAIN,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),213
 WEIGHT DECREASED,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),213
 PAIN, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,213
HYPERSENSITIVITY, VISITED AN ER,212
 MALAISE, NON-SERIOUS INJURIES/ ILLNESS,212
 HYPERSENSITIVITY,LIFE THREATENING,212
 BURNING SENSATION, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),211
BURNING SENSATION,VISITED A HEALTH CARE PROVIDER,210
DIZZINESS,HOSPITALIZATION,209
 EMOTIONAL DISTRESS,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),209
VOMITING, VISITED A HEALTH CARE PROVIDER,208
 CHROMATURIA,HOSPITALIZATION,208
 BLOOD PRESSURE INCREASED, VISITED A HEALTH CARE PROVIDER,208
 BLOOD ALKALINE PHOSPHATASE INCREASED, HOSPITALIZATION,208
 LOSS OF CONSCIOUSNESS, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),207
 INSOMNIA,VISITED A HEALTH CARE PROVIDER,206
 ANXIETY, HOSPITALIZATION,205
URTICARIA,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),204
HAEMATOCHEZIA,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),204
 PALPITATIONS,HOSPITALIZATION,204
 HYPERTENSION, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),204
 DYSPEPSIA,VISITED A HEALTH CARE PROVIDER,204
 HYPERTENSION,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),203
DYSPNOEA,HOSPITALIZATION,202
 NAUSEA, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,202
 HYPERSENSITIVITY, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,202
ABDOMINAL PAIN, NON-SERIOUS INJURIES/ ILLNESS,201
 PARAESTHESIA, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),201
 NAUSEA,DISABILITY,201
 HYPOAESTHESIA, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),201
MALAISE,HOSPITALIZATION,200
 PALPITATIONS, VISITED AN ER,200
 DECREASED APPETITE,VISITED A HEALTH CARE PROVIDER,200
 BODY TEMPERATURE INCREASED,VISITED AN ER,200
 ABDOMINAL DISTENSION,VISITED A HEALTH CARE PROVIDER,200
DYSPNOEA,VISITED AN ER,199
 BURNING SENSATION, VISITED AN ER,199
 ANXIETY,VISITED A HEALTH CARE PROVIDER,199
HEADACHE,VISITED AN ER,197
BLOOD URINE PRESENT,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),197
 RASH, VISITED A HEALTH CARE PROVIDER,197
 MUSCLE SPASMS,VISITED A HEALTH CARE PROVIDER,197
 CHEST PAIN, VISITED A HEALTH CARE PROVIDER,197
 DYSPEPSIA, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),196
 COUGH,VISITED A HEALTH CARE PROVIDER,196
 DECREASED APPETITE, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),195
 PHYSICAL EXAMINATION,VISITED A HEALTH CARE PROVIDER,194
 FEELING HOT,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),194
 BLOOD ALKALINE PHOSPHATASE INCREASED,VISITED A HEALTH CARE PROVIDER,194
HAEMORRHAGE,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),193
 PAIN,DISABILITY,193
DIZZINESS, HOSPITALIZATION,191
DIARRHOEA, VISITED A HEALTH CARE PROVIDER,191
 HYPERHIDROSIS, VISITED AN ER,191
 HEART RATE INCREASED,VISITED A HEALTH CARE PROVIDER,191
 ALANINE AMINOTRANSFERASE INCREASED, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),191
DYSPNOEA, VISITED AN ER,190
 JAUNDICE, VISITED A HEALTH CARE PROVIDER,190
TOOTH INJURY,NON-SERIOUS INJURIES/ ILLNESS,189
CHEST PAIN,HOSPITALIZATION,189
CEREBROVASCULAR ACCIDENT,HOSPITALIZATION,189
 TREMOR,HOSPITALIZATION,189
 URTICARIA, LIFE THREATENING,188
 HAEMATOCHEZIA,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),188
 DYSPEPSIA,HOSPITALIZATION,188
 DIARRHOEA, LIFE THREATENING,188
 CHILLS,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),188
 PALPITATIONS, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),187
 GASTROENTERITIS VIBRIO,NON-SERIOUS INJURIES/ ILLNESS,187
 ARTHRALGIA,VISITED A HEALTH CARE PROVIDER,187
 HEPATIC ENZYME INCREASED, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),186
 DECREASED APPETITE,HOSPITALIZATION,186
HEADACHE, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),185
DYSPNOEA, HOSPITALIZATION,185
HEADACHE, VISITED AN ER,184
 HYPERHIDROSIS,HOSPITALIZATION,184
